rat_subcutaneous_LD50_(?log(mol/kg)),canonical_smiles
5.012294585,COC12C(COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1CC1NC12
3.245232599,CCOC(=O)C1(c2ccccc2)CCN(C)CC1
2.907020934,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO
3.389527695,CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO
2.373513955,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1
3.702974787,c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34
3.08414849,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O
3.092217692,CC(C)[N+](C)(CCOC(=O)C1c2ccccc2Oc2ccccc21)C(C)C
3.228120778,S=c1nc[nH]c2nc[nH]c12
3.08060137,CN(C)CCCN1c2ccccc2CCc2ccccc21
3.628556484,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21
4.386454731,COC(=O)C1C2CC3c4[nH]c5cc(OC)ccc5c4CCN3CC2CC(OC(=O)c2cc(OC)c(OC)c(OC)c2)C1OC
4.690941379,CCC(C)C1NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(N)CSSCC(C(=O)N2CCCC2C(=O)NC(CC(C)C)C(=O)NCC(N)=O)NC(=O)C(CC(N)=O)NC(=O)C(CCC(N)=O)NC1=O
2.221679168,O=C(Cc1cccs1)NC1C(=O)N2C(C(=O)O)=C(C[n+]3ccccc3)CSC12
3.009928118,Cc1ccc(N(CC2=NCCN2)c2cccc(O)c2)cc1
3.226233486,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12
2.791207872,NCCc1c[nH]c2ccc(O)cc12
0.789189915,OCC(O)C(O)C(O)C(O)CO
2.875944395,O=C(O)c1ccc(Cl)c(Cl)c1Cl
6.197792448,Cc1ccc(C(=O)NC2C(=O)NC(C(C)C)C(=O)N3CCCC3C(=O)N(C)CC(=O)N(C)C(C(C)C)C(=O)OC2C)c2c1OC1C(C)C(=O)C(N)C(C(=O)NC3C(=O)NC(C(C)C)C(=O)N4CCCC4C(=O)N(C)CC(=O)N(C)C(C(C)C)C(=O)OC3C)C1N2
1.24581854,O=C1OC(C(O)CO)C(O)=C1O
2.596428498,CCN(CC)CCOC(=O)c1ccc(N)cc1
2.070649145,CCN(CC)CCNC(=O)c1ccc(N)cc1
2.777744117,O=c1[nH]cc(F)c(=O)[nH]1
3.867130293,O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1
2.686330074,CC(C)NCC(O)c1ccc(O)c(O)c1
3.063521,CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2
2.37430062,NCCc1ccc(O)c(O)c1
4.981050988,CN(CCCl)CCCl
1.472428127,CC(C)=CCCC(C)=CCCC(C)=CCCC(=O)OCC=C(C)CCC=C(C)C
4.565841918,C[N+](C)(C)CCOC(N)=O
3.224540616,CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC21C
4.384881616,S=P(N1CC1)(N1CC1)N1CC1
3.051191125,CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O
3.2771235,C=CCC1(CC=C)C(=O)NC(=O)NC1=O
4.265838294,C1CN1P1(N2CC2)=NP(N2CC2)(N2CC2)=NP(N2CC2)(N2CC2)=N1
3.070555016,O=[N+]([O-])C(Br)(CO)CO
1.56958643,CC(C)(S)C(N)C(=O)O
2.808610974,COP(=O)(OC)C(O)C(Cl)(Cl)Cl
3.796887569,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1
1.948606377,NC(CS)C(=O)O
3.213795389,COC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C
3.19638373,CC(=O)OCC(=O)C1(O)CCC2C3CC(C)C4=CC(=O)C=CC4(C)C3C(O)CC21C
1.486353957,CC12COC(=O)CC1CCC1C2CCC2(C)C1CCC2(C)O
2.460041936,CC12CCC3C(CC=C4CC(O)CCC43C)C1CCC2=O
4.393437911,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1
2.80434172,COc1cc(C(=O)OCCCN(C)CCN(C)CCCOC(=O)c2cc(OC)c(OC)c(OC)c2)cc(OC)c1OC
1.856740708,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl
2.463529388,Cc1ncc(COP(=O)(O)O)c(C=O)c1O
3.591784425,CC[Hg]Sc1ccccc1C(=O)O
2.856003489,CCC1C(=O)OCC1Cc1cncn1C
2.619974581,NNC(=O)c1ccncc1
1.391326855,O=C(O)c1cccnc1
3.126446996,O=C1CN(/N=C/c2ccc([N+](=O)[O-])o2)C(=O)N1
3.408505948,O=C(CCBr)N1CCN(C(=O)CCBr)CC1
3.211007404,C1CCc2nnnn2CC1
4.191379465,NC(Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)O
2.719148486,CCN(CC)N=O
3.523529699,CC(Cc1ccccc1)NN
2.703685075,N=C(N=C(N)Nc1ccc(Cl)cc1)NCCCCCCNC(=N)N=C(N)Nc1ccc(Cl)cc1
3.383060594,O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-]
5.106802156,CC(C)OP(=O)(F)OC(C)C
4.049052311,CS(=O)(=O)OCCCCOS(C)(=O)=O
4.510045791,CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1
1.159445716,NCC(=O)O
4.178744056,O=[N+]([O-])c1cc[n+]([O-])c2ccccc12
3.169686266,NC(Cc1c[nH]c2ccc(O)cc12)C(=O)O
1.810409964,O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl
2.964231336,OCC(O)CO
3.032539931,C=CCN=C=S
0.86474255,NC(N)=O
2.57322651,C=CCN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5
3.070402849,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O
2.618800919,CCCC(C)(COC(N)=O)COC(N)=O
0.529173603,CC(O)CO
2.170862856,C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C
2.143540946,Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1
1.838212919,CCC(=O)OC1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C
6.293785129,COc1cc2c3cc1Oc1cc(ccc1O)CC1c4c(cc(OC)c(O)c4Oc4ccc(cc4)CC3N(C)CC2)CC[N+]1(C)C
3.057786886,Cn1c(=O)c2c(ncn2C)n(C)c1=O
2.914450263,CCN(CC)CCSC(=O)N(c1ccccc1)c1ccccc1
2.894351739,Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C
1.781695072,CC12CCC(=O)C=C1CCC1C2CCC2(C)C1CCC2(C)O
3.163063568,CNCCCN1c2ccccc2CCc2ccccc21
2.485494285,OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1
3.170671119,CN(C)CCCN1c2ccccc2Sc2ccccc21
1.74173414,Cc1ncc(CO)c(CO)c1O
1.681476531,CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)Cc3cccs3)C2SC1
3.158287938,COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC
2.370040756,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O
2.265274805,NCC1OC(OC2C(N)CC(N)C(OC3OC(CO)C(O)C(N)C3O)C2O)C(O)C(O)C1O
3.894055247,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1
1.896215209,O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1Br
2.870781749,CCN(CC)C(=O)c1cccnc1
2.552013849,Cc1cc(O)ccc1Cl
1.79319649,OCC(S)CS
1.81984652,NC(=O)N/N=C/c1ccc([N+](=O)[O-])o1
2.834458106,O=NN1CCOCC1
2.963067903,NCCS
3.046923497,C[N+](C)(C)CCCCCC[N+](C)(C)C
2.767037068,CC(=O)OCC[N+](C)(C)C
0.771352266,CC(N)=O
2.816265927,CNC(=O)CSP(=S)(OC)OC
2.802715099,CN(C)C1C(=O)C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3CC12
2.036374114,Cn1cc[nH]c1=S
3.890629715,ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl
2.730393332,CC(CN1c2ccccc2Sc2ccccc21)N(C)C
3.86329774,COc1ccc2c(c1)N(CC(C)CN(C)C)c1ccccc1S2
4.10452631,CCCCOc1cc(C(=O)NCCN(CC)CC)c2ccccc2n1
3.175188207,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1
3.329701542,CC(=O)OC(C)C[N+](C)(C)C
4.310921352,COP(=O)(OC)OC=C(Cl)Cl
4.193358386,O=C(O)CF
3.693627302,CN(C)N=O
2.1575539,CNC(=O)Oc1cccc2ccccc12
1.835433089,O=CC(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO
3.860167723,CCC(=O)OC1(c2ccccc2)CC(C)N(C)CC1C
3.075884892,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O
3.699521628,CCC1(C)CC(=O)NC(=O)C1
2.643979714,CCOS(=O)(=O)OCC
3.491240261,O=C(O)CI
2.498866885,Cc1ncc(CO)c(C=O)c1O
4.253429834,CC[N+](CC)(CC)CCOc1cccc(OCC[N+](CC)(CC)CC)c1OCC[N+](CC)(CC)CC
2.9450114,COS(C)(=O)=O
5.326115898,O=C1CC2OCC=C3CN4CCC56c7ccccc7N1C5C2C3CC46
2.813764408,CC[N+](CC)(CC)CC
5.051309998,CC1CC(C)C(=O)C(C(O)CC2CC(=O)NC(=O)C2)C1
2.675650705,Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1
0.813669929,CS(C)=O
3.622189069,CC1(C)OC2CC3C4CC(F)C5=CC(=O)C=CC5(C)C4(F)C(O)CC3(C)C2(C(=O)CO)O1
1.284104074,CN(C)C=O
2.167546145,Cc1c(N(C)CS(=O)(=O)O)c(=O)n(-c2ccccc2)n1C
2.834828855,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1
1.817916266,CC1(C)SC2C(NC(=O)C(N)c3ccccc3)C(=O)N2C1C(=O)O
1.687027494,Nc1ccn(C2OC(CO)C(O)C2O)c(=O)n1
1.276426875,CN1CC(O)c2cc(N=NC(N)=O)c(O)cc21
2.544345668,CN(N=O)C(N)=N[N+](=O)[O-]
4.725833726,Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl
1.660943716,CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN
1.190771374,NC(Cc1cnc[nH]1)C(=O)O
2.632942944,CC(=O)OC1(C(C)=O)CCC2C3CC(C)C4=CC(=O)CCC4(C)C3CCC21C
4.667995486,CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CCC5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O
3.747797047,CN1CCC23c4c5ccc(O)c4OC2C(=O)CCC3C1C5
3.046904683,OC(c1ccccc1)(c1ccccc1)C1CCCCN1
1.793003474,C#CC1(O)CCC2C3CCc4cc(OC)ccc4C3CCC21C
2.161897444,COc1ccc2[nH]cc(CCNC(C)=O)c2c1
2.729392154,CCN(CC)CC(=O)Nc1c(C)cccc1C
2.098747529,O=S(=O)(O)CC(S)CS
4.000541253,CC(C)(O)C#N
4.520722483,CC1(C)OC2CC3C4CCC5=CC(=O)C=CC5(C)C4(F)C(O)CC3(C)C2(C(=O)CO)O1
3.520452424,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O
2.662812689,C[N+]1(C)CCCC(OC(=O)C(O)(c2ccccc2)c2ccccc2)C1
2.403713117,CCC1(CC)C(=O)C=CNC1=O
3.146631835,C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O
1.830937504,NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl
3.92633142,C=CS(=O)(=O)C=C
3.100828725,COS(=O)(=O)OC
6.000345689,CCOP(=O)(C#N)N(C)C
1.621813371,CCOC(=O)CC(O)(CC(=O)OCC)C(=O)OCC
3.625308602,CCOP(=S)(OCC)SC1OCCOC1SP(=S)(OCC)OCC
5.137374686,CCOP(=S)(OCC)SCSC(C)C
6.254220884,CCOP(=O)(OCC)SCCN(CC)CC
1.30758517,CNC(C)=O
1.770061368,NN=C(N)N
1.796845806,CC(C)(CO)C(O)C(=O)NCCC(=O)O
2.600331315,CC(C)(OO)c1ccccc1
2.443315668,COc1ccc(NS(=O)(=O)c2ccc(N)cc2)nn1
2.602622039,CCOS(=O)(=O)c1ccc(C)cc1
2.872114299,COS(=O)(=O)c1ccc(C)cc1
2.559881201,C[N+]1(C)C2CCC1CC(OC(=O)C(O)c1ccccc1)C2
1.149984119,C=C(C)C(=O)OC
1.530443988,Cc1ncc(CO)c(C(=O)O)c1O
2.431961714,CCC(c1ccc(O)cc1)C(CC)c1ccc(O)cc1
2.60267842,c1ccc2c(c1)CCCC2C1=NCCN1
2.522916093,CCOC(=O)Oc1c(OC)cc(C(=O)OC2CC3CN4CCc5c([nH]c6cc(OC)ccc56)C4CC3C(C(=O)OC)C2OC)cc1OC
3.811403697,CCN(CC)C(C)C=C(c1cccs1)c1cccs1
2.310117411,CCN1C(=O)NC(c2ccccc2)C1=O
2.280792503,O=[N+]([O-])OC1COC2C(O[N+](=O)[O-])COC12
1.813104379,O=C(O)C(O)C(O)C(=O)O
3.605889199,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl
0.78432053,OCC(O)C(O)C(O)CO
4.071651737,CCC(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O
2.199268311,Cc1cc(=O)n(-c2ccccc2)[nH]1
2.132554955,O=Cc1ccccc1O
2.726720124,CCC(C)C(C(=O)OCC[N+](C)(CC)CC)c1ccccc1
3.241204356,CN(C)CCN(Cc1cccs1)c1ccccn1
1.890602909,COc1ccccc1OCC(O)CO
2.07969597,CC=C(CC)C(=O)NC(N)=O
1.468359148,Clc1ccccc1Cl
3.469734472,Nc1ccccc1O
2.131375502,Oc1ccccc1Cl
1.9413443,Oc1cc(Cl)c(Cl)cc1Cl
3.373526206,ClCC(Br)CBr
1.508442492,CCC(C)=NO
6.409230429,CC(OP(C)(=O)F)C(C)(C)C
3.062254509,OCc1ccco1
2.812393879,O=Cc1ccco1
1.861502407,NC(=O)c1cccnc1
2.483299098,COC(=O)c1ccc(O)cc1
2.102385677,ClCc1ccccc1
3.823653171,Cl[Hg]c1ccccc1
3.057468307,O=NN1CCCCC1
1.727799805,Nc1ccc(Cc2ccc(N)c(Cl)c2)cc1Cl
2.927498682,O=NN1CN2CN(C1)CN(N=O)C2
2.996224821,Nc1ccc(Cc2ccc(N)cc2)cc1
1.40337303,CC(=O)CC(=O)Nc1ccccc1
1.891706667,CC(=O)OCC(COC(C)=O)OC(C)=O
2.641136856,NCC(O)c1ccc(O)cc1
2.301801019,CCCCC(CC)CO
2.166461652,CCc1ccc(C)nc1
1.142948631,CCOC(=O)OCC
2.096261883,Oc1ccc(Cl)cc1
1.387166473,CC(=O)OCC(O)CO
1.090245106,OCCCCC(O)CO
2.790167835,ClCC1CO1
3.049714076,C=CC=O
1.995459687,ClCCCl
2.981592117,OCCCl
2.849738721,C=CC#N
2.301753217,NCCN
1.34570972,OCCO
6.133582311,CC(C)OP(C)(=O)F
6.017076743,CCOP(=O)(OCC)OP(=O)(OCC)OCC
0.653800825,CC(O)CCO
1.062736218,COCC(C)O
0.963655971,CC1COC(=O)O1
4.524474015,CCOP(=O)(OCC)Oc1cc(C)[nH]n1
1.966084307,Oc1cccc(Cl)c1
1.415011231,Oc1cc(O)cc(O)c1
1.655408446,O=C1CCCCC1
2.650573006,C=CCC#N
3.321647738,N#CCC#N
2.365757463,O=C(O)C=CC(=O)O
1.423351904,CCOCCO
1.960669572,c1ccncc1
1.979114601,O=[N+]([O-])OCCOCCOCCO[N+](=O)[O-]
2.125446564,O=CCCCC=O
1.665489266,NCCNCCO
1.6793329,OCCNCCO
0.751643485,OCCOCCO
1.484972119,OCCSCCO
1.349520354,CCOCCOCCO
2.417693522,CCCCNCCCC
2.567789642,CCCCOCCOCCSC#N
2.859141301,C#CC(O)(C=CCl)CC
3.137486294,COC(=O)C(c1ccccc1)C1CCCCN1
3.572467062,CNC(=O)Oc1ccccc1OC(C)C
3.010663741,CN1C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12
5.780679219,CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1
5.710751835,CN(C)P(=O)(F)N(C)C
5.077227358,CC[N+](CC)(CCNC(=O)C(=O)NCC[N+](CC)(CC)Cc1ccccc1Cl)Cc1ccccc1Cl
5.455891524,CNC(=O)ON=CC(C)(C)SC
2.479848388,COc1ccc2c(c1OC)C(=O)OC2C1c2cc3c(cc2CCN1C)OCO3
3.047614431,CCOP(=S)(OCC)Oc1ccc(=O)n(-c2ccccc2)n1
3.321727033,CCCCN(CCN(CCCC)C(=O)N1CCOCC1)C(=O)N1CCOCC1
1.790869889,O=Cc1ccccc1C(=O)O
1.974149494,Oc1ccc(Cl)cc1Cl
2.006177843,COc1cc(C=O)ccc1O
3.540022258,CC(C)(C)CC(C)(C)c1ccc(OCCOCC[N+](C)(C)Cc2ccccc2)cc1
2.916932725,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC
2.328909405,COP(=S)(OC)Oc1ccc([N+](=O)[O-])c(C)c1
3.085707187,CCCCCCCCCCCCCCCC[n+]1ccccc1
1.850212755,CCC=O
1.373412258,CNC=O
0.857977427,CCCC=O
2.93938931,CCCCCC(C)N
1.027084464,CCCCCCCCCCCCCCCCCC(=O)OCCCC
3.600344654,CC12C=CC(=O)C=C1CCC1C3CC(O)C(O)(C(=O)CO)C3(C)CC(O)C12F
5.944668774,CCC(C)C(=O)OC1C(O)C2C(CN3CC(C)CCC3C2(C)O)C2CC34OC5(O)C(OC(=O)C(C)(O)C(C)O)CCC3(C)C5C(OC(C)=O)C(OC(C)=O)C4C21O
3.300117018,COc1ccc2c3c1OC1C(=O)CCC4C(C2)N(C)CCC314
2.593411055,CC[N+]1(C)CCCC(OC(=O)C(O)(c2ccccc2)c2ccccc2)C1
2.476434653,CN1CCCN=C1COC(=O)C(O)(c1ccccc1)C1CCCCC1
2.984189004,C[N+]1(CCC(C(N)=O)(c2ccccc2)c2ccccc2)CCCCC1
2.660986362,CCC1(CC)C(=O)NCC(C)C1=O
2.926098418,COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3
3.235378155,CCOC(=O)C1(c2ccccc2)CCN(CCc2ccc(N)cc2)CC1
2.038127179,CCCC(=O)OC(C(Cl)(Cl)Cl)P(=O)(OC)OC
2.632192445,C#CC1(OC(N)=O)CCCCC1
2.366290314,CN(C)C1C(=O)C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4C(O)C3CC12
1.854737085,CN1C(=O)OC(C)(C)C1=O
2.145651791,Cc1ccnc(NS(=O)(=O)c2ccc(N)cc2)n1
3.461510532,Nc1ccc([As](=O)(O)O)cc1
2.724719621,CNC1C(OC2C(OC3C(O)C(O)C(NC(=N)N)C(O)C3NC(=N)N)OC(C)C2(O)CO)OC(CO)C(O)C1O
2.45849583,CN1CCC(=C2c3ccccc3C=Cc3ccccc32)CC1
2.893734303,O=C1C=CC(=O)c2ccccc21
1.786044053,Oc1c(I)cc(Cl)c2cccnc12
2.762710206,CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2
1.950774138,O=c1nc[nH]c2c1ncn2C1OC(COP(=O)(O)O)C(O)C1O
3.005277754,CN1CCC(OC(c2ccccc2)c2ccccc2)CC1
2.63320606,CN(C)CCCOc1nn(Cc2ccccc2)c2ccccc12
2.198657637,CCC(=O)OC1C(OC2C(C)C(OC3CC(C)(OC)C(O)C(C)O3)C(C)C(=O)OC(CC)C(C)(O)C(O)C(C)C(=O)C(C)CC2(C)O)OC(C)CC1N(C)C
2.704510849,CC1NCCOC1c1ccccc1
4.041999287,CCCCNc1ccc(C(=O)OCCN(C)C)cc1
2.476287318,CCN(CC)CCOc1ccc2nc(N(C)C)sc2c1
2.570781426,CN(C)C(=S)SSC(=S)N(C)C
1.085724537,CCCCOC(=O)C(C)O
4.346635024,NCC(O)c1ccc(O)c(O)c1
2.764592259,CC(C)Nc1nc(Cl)nc(NC(C)C)n1
3.85273649,COC(CNC(=O)NC(=O)CCC(=O)O)C[Hg]O
1.965566296,C=Cc1ccc(C)nc1
2.954646457,O=NN1CCN(N=O)CC1
1.609836209,NCCO
4.464635721,COP(=O)(OC)OC(C)=CC(=O)N(C)C
1.36699306,C1CNCCN1
6.218550822,CCC(C)C(=O)OC1C(O)C2C(CN3CC(C)CCC3C2(C)O)C2CC34OC5(O)C(OC(=O)C(C)(O)CC)CCC3(C)C5C(OC(C)=O)C(OC(C)=O)C4C21O
3.358786611,CCC1(O)CC2CN(CCc3c([nH]c4ccccc34)C(C(=O)OC)(c3cc4c(cc3OC)N(C)C3C(O)(C(=O)OC)C(OC(C)=O)C5(CC)C=CCN6CCC43C65)C2)C1
2.77132163,O=S1(=O)OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21
2.612065323,CCC1(CC)C(=O)NC(=O)NC1=O
2.37272385,C[N+]1(CCC(O)(c2ccccc2)c2cccs2)CCOCC1
1.615004864,Cc1nnc(NS(=O)(=O)c2ccc(N)cc2)s1
2.243071496,CC(CCC(=O)O)C1CCC2C3C(=O)CC4CC(=O)CCC4(C)C3CC(=O)C12C
2.917667371,CN(C)CCOC(c1ccccc1)c1ccccc1
4.146469133,O=C1C=C2C(=CCOC2O)O1
2.903661432,CCCC[N+]1(C)C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12
2.572261651,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)COP(=O)(O)O
3.628256162,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC
4.502507537,CN(C)P(=O)(OP(=O)(N(C)C)N(C)C)N(C)C
2.121301181,COc1nccnc1NS(=O)(=O)c1ccc(N)cc1
2.290520097,COc1cc2[nH]c(C)c(CCN3CCN(c4ccccc4)CC3)c2cc1OC
2.817319398,O=CCC(O)C(O)C(O)CO
1.763833645,Oc1cc(O)c2c(c1)OC(c1ccc(O)c(O)c1)C(O)C2
2.250158716,CC(N)C(O)c1ccccc1
3.53210011,CN(C)CCN(Cc1ccccc1)c1ccccn1
3.783996154,CNCC(O)c1cccc(O)c1
3.410395964,O=NN(CCCl)C(=O)NCCCl
4.76683245,CN(C)C(=O)Oc1ccc[n+](C)c1
2.391796594,c1ccc2cccc-2cc1
2.036438835,c1c[nH]cn1
4.642152785,COP(=S)(OC)Oc1ccc([N+](=O)[O-])cc1
